benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_light-loss-no-failures,coverage,coverage,0,20,auction,coverage/light-loss-no-failures,20,1.000,1.000,0.000,0.000,90.000,4.350,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_ideal-no-failures,coverage,coverage,0,20,auction,coverage/ideal-no-failures,20,1.000,1.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_partition-prone-multiple-failures,coverage,coverage,0,20,auction,coverage/partition-prone-multiple-failures,20,1.000,1.000,0.100,0.000,14587.200,4775.950,0.000,0.000,0.000,0.996,0.000,1.000,1.950,1.000,662910.300,190.700,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_high-latency-no-failures,coverage,coverage,0,20,auction,coverage/high-latency-no-failures,20,1.000,1.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_partition-prone-single-failure,coverage,coverage,0,20,auction,coverage/partition-prone-single-failure,20,1.000,1.000,0.000,0.000,16276.950,3904.800,0.000,0.000,0.000,0.998,0.000,1.000,1.000,1.000,739847.250,191.550,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_light-loss-multiple-failures,coverage,coverage,0,20,auction,coverage/light-loss-multiple-failures,20,1.000,1.000,1.800,0.000,11214.000,2738.200,0.000,0.000,0.000,0.984,0.000,1.000,1.950,1.000,509298.300,143.650,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_partition-prone-no-failures,coverage,coverage,0,20,auction,coverage/partition-prone-no-failures,20,1.000,1.000,0.000,0.000,18000.000,2698.050,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,818280.000,2.700,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_medium-loss-cascade-failure,coverage,coverage,0,20,auction,coverage/medium-loss-cascade-failure,20,1.000,1.000,0.000,0.000,12991.500,5257.250,0.000,0.000,0.000,0.995,0.000,1.000,2.800,1.000,590184.450,186.800,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_light-loss-cascade-failure,coverage,coverage,0,20,auction,coverage/light-loss-cascade-failure,20,1.000,1.000,1.900,0.000,9532.800,3091.950,0.000,0.000,0.000,0.977,0.000,1.000,2.950,1.000,432634.050,131.650,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_high-latency-multiple-failures,coverage,coverage,0,20,auction,coverage/high-latency-multiple-failures,20,1.000,1.000,0.000,0.000,14587.200,3035.300,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,662910.300,190.450,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_medium-loss-single-failure,coverage,coverage,0,20,auction,coverage/medium-loss-single-failure,20,1.000,1.000,0.000,0.000,16276.950,3905.550,0.000,0.000,0.000,0.999,0.000,1.000,1.000,1.000,739847.250,191.650,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_light-loss-single-failure,coverage,coverage,0,20,auction,coverage/light-loss-single-failure,20,1.000,1.000,2.150,0.000,8650.800,1269.350,0.000,0.000,0.000,0.986,0.000,1.000,1.000,1.000,392588.100,97.450,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_ideal-cascade-failure,coverage,coverage,0,20,auction,coverage/ideal-cascade-failure,20,1.000,1.000,3.000,0.000,1620.000,109.000,0.000,0.000,0.000,0.946,0.000,1.000,3.000,1.000,72103.950,6.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T154001Z_all_20_custom,2026-05-27T154001Z_all_20_custom_coverage_auction_coverage_partition-prone-cascade-failure,coverage,coverage,0,20,auction,coverage/partition-prone-cascade-failure,20,1.000,1.000,0.000,0.000,12991.500,5325.400,0.000,0.000,0.000,0.992,0.000,1.000,2.900,1.000,590184.450,186.600,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
