benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_high-latency-multiple-failures,coverage,coverage,0,200,centralized,coverage/high-latency-multiple-failures,200,1.000,1.000,0.000,0.000,14604.480,3020.080,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,663680.925,189.560,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_medium-loss-no-failures,coverage,coverage,0,200,centralized,coverage/medium-loss-no-failures,200,1.000,1.000,0.000,0.000,90.000,13.520,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_medium-loss-multiple-failures,coverage,coverage,0,200,centralized,coverage/medium-loss-multiple-failures,200,1.000,1.000,0.000,0.000,14604.480,4756.015,0.000,0.000,0.000,0.997,0.000,1.000,1.915,1.000,663680.925,189.760,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_medium-loss-cascade-failure,coverage,coverage,0,200,centralized,coverage/medium-loss-cascade-failure,200,1.000,1.000,0.000,0.000,13038.210,5240.530,0.000,0.000,0.000,0.995,0.000,1.000,2.745,1.000,592288.020,185.780,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_partition-prone-cascade-failure,coverage,coverage,0,200,centralized,coverage/partition-prone-cascade-failure,200,1.000,1.000,0.000,0.000,13038.210,5351.680,0.000,0.000,0.000,0.992,0.000,1.000,2.820,1.000,592288.020,185.705,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_heavy-loss-cascade-failure,coverage,coverage,0,200,centralized,coverage/heavy-loss-cascade-failure,200,1.000,1.000,0.000,0.000,13038.210,6618.070,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,592288.020,186.045,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_light-loss-no-failures,coverage,coverage,0,200,centralized,coverage/light-loss-no-failures,200,1.000,1.000,0.000,0.000,90.000,4.675,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_ideal-single-failure,coverage,coverage,0,200,centralized,coverage/ideal-single-failure,200,1.000,1.000,3.000,0.000,1129.950,36.000,0.000,0.000,0.000,0.975,0.000,1.000,1.000,1.000,50058.000,4.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_partition-prone-single-failure,coverage,coverage,0,200,centralized,coverage/partition-prone-single-failure,200,1.000,1.000,0.000,0.000,16280.595,3904.160,0.000,0.000,0.000,0.998,0.000,1.000,1.000,1.000,740010.330,191.160,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
2026-05-27T162606Z_all_200_custom,2026-05-27T162606Z_all_200_custom_coverage_centralized_coverage_high-latency-no-failures,coverage,coverage,0,200,centralized,coverage/high-latency-no-failures,200,1.000,1.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000
